workflow_roles,pass_at_k,tokens
Progress Summarizer -> Dynamic Programming Specialist,0.5666666666666667,57970
Test Designer,0.3,30030
Regression Sentinel -> Solution Planner,0.5666666666666667,57043
Answer Extractor,0.5,30369
Dynamic Programming Specialist,0.4666666666666667,30821
Regression Sentinel -> Docstring Author,0.5333333333333333,57452
Regression Sentinel -> Solution Refiner,0.5333333333333333,57328
Assumption Checker,0.4666666666666667,30824
Task Decomposer -> Docstring Author,0.5333333333333333,59415
Answer Extractor,0.4666666666666667,30401
Answer Extractor,0.4666666666666667,30509
Task Decomposer,0.4666666666666667,31582
Answer Extractor,0.4666666666666667,30479
Test Designer -> Solution Planner -> Constraint Analyzer,0.5333333333333333,86463
Input/State Inspector,0.43333333333333335,30881
Summary Author,0.43333333333333335,30934
Input/State Inspector,0.43333333333333335,30544
Dynamic Programming Specialist -> Task Decomposer,0.5,58327
Test Designer -> Solution Planner -> Answer Extractor,0.5333333333333333,84870
Assumption Checker -> Solution Planner,0.5,56820
Answer Extractor -> Dynamic Programming Specialist,0.43333333333333335,56430
Test Designer -> Regression Sentinel,0.5,57060
Conflict Resolver -> Test Designer,0.36666666666666664,58200
Logic Implementer -> Dynamic Programming Specialist,0.4666666666666667,57810
Test Designer -> Task Decomposer,0.36666666666666664,58140
Input/State Inspector -> Correctness Verifier,0.3,57900
Test Designer -> Solution Planner -> Solution Reviewer,0.43333333333333335,85140
Regression Sentinel -> Test Designer,0.4,56520
Strategy Selector -> Assumption Checker -> Dynamic Programming Specialist,0.4,83430
Performance Optimizer -> Assumption Checker,0.4,57600
Correctness Verifier -> Test Designer,0.36666666666666664,64380
Input/State Inspector -> Logic Implementer,0.43333333333333335,57750
Task Decomposer -> Constraint Analyzer,0.43333333333333335,59310
Final Presenter -> Progress Summarizer,0.36666666666666664,56880
Problem Analyzer -> Docstring Author,0.4,57720
Summary Author -> Constraint Analyzer,0.36666666666666664,57990
Conflict Resolver -> Progress Summarizer,0.5,56370
Task Decomposer -> Solution Refiner,0.36666666666666664,58800
Conflict Resolver -> Input/State Inspector,0.4666666666666667,56850
Assumption Checker -> Answer Extractor,0.5333333333333333,56820
Strategy Selector -> Performance Optimizer -> Assumption Checker -> Input/State Inspector,0.3333333333333333,108780
Test Designer -> Solution Planner -> Docstring Author,0.43333333333333335,85350
Assumption Checker -> Task Decomposer,0.3333333333333333,57210
Solution Refiner -> Docstring Author,0.4,57300
Solution Planner -> Regression Sentinel -> Data Structure Planner,0.43333333333333335,83280
Strategy Selector -> Assumption Checker -> Test Designer,0.3333333333333333,83280
Solution Planner -> Final Presenter,0.36666666666666664,57510
Data Structure Planner -> Regression Sentinel -> Solution Planner,0.4,85530
Test Designer -> Solution Planner -> Summary Author,0.5,84210
Test Designer -> Solution Planner -> Dynamic Programming Specialist,0.43333333333333335,84840
Solution Planner -> Summary Author,0.36666666666666664,57420
Test Designer -> Solution Planner -> Correctness Verifier,0.5,84930
Conflict Resolver -> Strategy Selector,0.36666666666666664,56910
Progress Summarizer -> Data Structure Planner,0.4666666666666667,56070
Solution Reviewer -> Correctness Verifier,0.3333333333333333,58620
Progress Summarizer -> Final Presenter,0.4,56310
