workflow_roles,pass_at_k,tokens
Performance Optimizer,0.1,6309.25
Solution Drafter,0.825,6862.5
Data & Arrays Specialist,0.8125,6437.5
Quality Gatekeeper,0.025,6463.0
Data & Arrays Specialist -> Task Decomposer,0.8,12881.25
Data & Arrays Specialist,0.725,7133.0
Quality Gatekeeper -> Solution Drafter,0.75,12457.0
Solution Drafter -> Progress Summarizer,0.7875,12398.75
Solution Planner,0.0125,6582.0
Solution Drafter -> Solution Planner,0.8,13019.5
Progress Summarizer,0.05,7107
Data & Arrays Specialist,0.75,7677
Solution Planner -> Data & Arrays Specialist,0.8,12964
Solution Drafter -> Quality Gatekeeper,0.7,12659
Data & Arrays Specialist -> Solution Reviewer,0.8,14208
Quality Gatekeeper -> Bug Hunter,0.8,14036
Performance Optimizer -> Quality Gatekeeper,0.8,12745
Solution Drafter -> Docstring Author,0.8,13289
Data & Arrays Specialist -> Solution Planner,0.75,13327
Data & Arrays Specialist -> Solution Drafter -> Progress Summarizer,0.75,19440
Docstring Author -> Data & Arrays Specialist,0.7625,12205.0
Dynamic Programming Specialist -> Solution Reviewer,0.75,12180.5
Task Decomposer -> Progress Summarizer,0.7,12052.75
Solution Drafter -> Solution Reviewer,0.7625,12819.25
Solution Ranker -> Data & Arrays Specialist,0.7625,12636.0
Progress Summarizer -> Task Decomposer,0.6625,12484.75
Progress Summarizer -> Data & Arrays Specialist,0.8,13138.0
Data & Arrays Specialist -> Progress Summarizer,0.8,13483.25
Data & Arrays Specialist -> Solution Drafter,0.75,12789.75
Quality Gatekeeper -> Solution Reviewer,0.65,12780.75
