workflow_roles,pass_at_k,tokens
Performance Optimizer -> Solution Ranker,0.5333333333333333,10121.333333333334
Performance Optimizer -> Solution Ranker -> Comment & Hint Writer,0.475,15071.5
Performance Optimizer -> Solution Ranker -> Requirement Extractor,0.5,15173.0
Solution Ranker,0.25,6341.0
Solution Planner -> Performance Optimizer -> Robustness Engineer -> Consistency Checker -> Algorithm Strategist -> Interface Designer -> Boundary Tester,0.55,38508.0
Consistency Checker,0.3,5857.0
Algorithm Strategist -> Complexity Estimator,0.525,10248.5
Algorithm Strategist -> Data Structure Planner,0.55,9905.0
Consistency Checker -> Algorithm Strategist -> Data Structure Planner -> Quality Auditor,0.5,20273.0
Consistency Checker -> Algorithm Strategist -> Data Structure Planner -> Quality Auditor,0.45,21812.0
Consistency Checker -> Algorithm Strategist -> Data Structure Planner -> Data & Arrays Specialist,0.8,24471.0
Consistency Checker -> Algorithm Strategist -> Data Structure Planner -> Performance Optimizer,0.6,19942.0
Consistency Checker -> Algorithm Strategist -> Data Structure Planner -> Solution Reviewer,0.6,21450.0
Consistency Checker -> Algorithm Strategist -> Data Structure Planner -> Final Presenter,0.65,21269.0
Consistency Checker -> Algorithm Strategist -> Data Structure Planner -> Assumption Checker,0.3,21397.0
